id,name,character_id,card_unique_info_id,cost,rarity,hp_init,hp_max,atk_init,atk_max,def_init,def_max,element,lv_max,skill_lv_max,grow_type,optimal_awakening_grow_type,price,exp_type,training_exp,special_motion,passive_skill_set_id,leader_skill_set_id,link_skill1_id,link_skill2_id,link_skill3_id,link_skill4_id,link_skill5_id,link_skill6_id,link_skill7_id,eball_mod_min,eball_mod_num100,eball_mod_mid,eball_mod_mid_num,eball_mod_max,eball_mod_max_num,max_level_reward_id,max_level_reward_type,collectable_type,face_x,face_y,aura_id,aura_scale,aura_offset_x,aura_offset_y,is_aura_front,is_selling_only,awakening_number,resource_id,bg_effect_id,selling_exchange_point,awakening_element_type,potential_board_id,open_at,created_at,updated_at
1000010,Super Saiyan Goku,1,1,16,3,2210,7367,1898,6325,1050,3500,0,80,10,31,NULL,13740,5,4280,1,65,100001,1000,29,22,9,47,NULL,NULL,35,4,0,0,115,12,1,1,1,499,843,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,10000,1,NULL,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000010,Super Saiyan Goku,1,1,16,3,2210,7367,1898,6325,1050,3500,0,80,10,31,,13740,5,4280,1,65.0,100001.0,1000.0,29.0,22.0,9.0,47.0,,,35,4,0,0,115,12,1.0,1,1,499,843,,,,,0,0,,,,10000,1.0,,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000011,Super Saiyan Goku,1,1,23,4,7367,8282,6325,7136,3500,3857,10,100,10,40,,29253,5,6000,1,65.0,100001.0,1000.0,29.0,22.0,9.0,47.0,,,35,4,0,0,115,12,1.0,1,1,499,843,,,,,0,0,,,,15000,1.0,120.0,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000020,Super Saiyan Vegeta,2,2,16,3,2135,7116,1763,5875,1185,3949,1,80,10,31,,13772,5,4280,1,4.0,100002.0,1000.0,29.0,22.0,9.0,40.0,,,35,5,0,0,130,12,1.0,1,1,598,934,,,,,0,0,,,,10000,2.0,,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000021,Super Saiyan Vegeta,2,2,23,4,7116,7920,5875,6700,3949,4325,21,100,10,40,,29302,5,6000,1,4.0,100002.0,1000.0,29.0,22.0,9.0,40.0,,,35,5,0,0,130,12,1.0,1,1,598,934,,,,,0,0,,,,15000,2.0,121.0,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000030,Goku,3,3,10,2,1632,5441,1250,4168,854,2848,3,60,10,23,,3337,5,2765,1,49.0,100003.0,45.0,23.0,42.0,47.0,1.0,,,40,6,0,0,120,12,1.0,1,1,438,755,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000031,Goku,3,3,14,3,5441,6696,4168,6192,2848,3361,13,80,10,30,,13320,5,4280,1,49.0,100003.0,45.0,23.0,42.0,47.0,1.0,,,40,6,0,0,120,12,1.0,1,1,438,755,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000040,Vegeta,4,4,10,2,1574,5246,1093,3642,1036,3453,1,60,10,23,,3343,5,2765,1,6.0,100004.0,22.0,40.0,50.0,26.0,,,,40,5,0,0,140,12,1.0,1,1,446,668,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000041,Vegeta,4,4,14,3,5246,6457,3642,5637,3453,4106,11,80,10,30,,13401,5,4280,1,6.0,100004.0,22.0,40.0,50.0,26.0,,,,40,5,0,0,140,12,1.0,1,1,446,668,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000050,Frieza (1st Form),5,5,8,2,1385,4617,1169,3898,1006,3352,3,60,10,21,,3080,4,2765,1,61.0,100005.0,50.0,26.0,51.0,28.0,59.0,,,40,6,0,0,120,12,1.0,1,1,422,762,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
1000051,Frieza (1st Form),5,5,12,3,4617,5900,3898,6064,3352,4110,23,80,10,30,,12942,4,4280,1,61.0,100005.0,50.0,26.0,51.0,28.0,59.0,,,40,6,0,0,120,12,1.0,1,1,422,762,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00,2022-05-27 10:38:50.571295,2022-05-27 10:38:50.571295
